address;available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;floor_num;heating;id;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction
Warszawa, Mokotów,  Cybernetyki;.;.;apartment;to_completion;Mokotów;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1 (z 7);.;55621400;52.1764506;https://www.otodom.pl/oferta/dwustronne-mieszkanie-w-przepieknej-okolicy-ID3LnFm.html;20.9935391;primary;0;0;0;.;90;443061;PLN;07.09.2018;.;3;0;0;0;1;0;0;0;51.82;07.09.2018;.;.
Warszawa, Œródmieœcie, Zygmunta S³omiñskiego;.;brick;apartment;ready_to_use;Œródmieœcie;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;5 (z 7);urban;54879196;52.2566964;https://www.otodom.pl/oferta/mieszkanie-63-m-warszawa-ID3IgAk.html;20.9920342;secondary;0;0;0;.;347;840000;PLN;ponad 14 dni temu;.;2;0;0;0;0;0;0;0;63;07.09.2018;.;2005
Warszawa, Bemowo, Obroñców Tobruku/ Ksiêcia Boles³awa;1 Sierpnia 2018;brick;apartment;ready_to_use;Bemowo;1;1;1;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;4 (z 5);urban;52660831;52.253732249573716;https://www.otodom.pl/oferta/ksiecia-boleslawa-obroncow-tobruku-z-wid-na-park-ID3yXuf.html;20.935276762084957;secondary;1;1;1;full_ownership;4152;1190000;PLN;ponad 14 dni temu;750 z³;3;1;1;1;1;1;1;0;90;05.09.2018;wooden;2006
Warszawa, Praga-Po³udnie,  Poligonowa;.;.;.;.;Praga-Po³udnie;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;1;0;1;7;.;55236136;52.24168;https://www.otodom.pl/oferta/wyjatkowy-taras-piekne-zachody-slonca-garaz-ID3JLrq.html;21.08406;secondary;1;1;1;full_ownership;1931;830000;PLN;ponad 14 dni temu;1 020 z³;3;0;1;1;1;1;1;0;95;08.09.2018;plastic;2001
Warszawa, Praga-Pó³noc,  Siedlecka;31 Sierpnia 2018;brick;tenement;ready_to_use;Praga-Pó³noc;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;parter (z 3);urban;55497936;52.25940893022624;https://www.otodom.pl/oferta/3-pokoje-po-gruntownym-remoncie-wlasnosc-z-kw-ID3KRy0.html;21.060788966687007;secondary;1;1;0;full_ownership;1841;399000;PLN;30.08.2018;550 z³;3;0;1;1;1;0;0;0;61.8;05.09.2018;plastic;1955
Warszawa, Bia³o³êka,  Morelowa;.;reinforced_concrete;block;to_completion;Bia³o³êka;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;3 (z 5);urban;55599128;52.3068501;https://www.otodom.pl/oferta/nowa-inwestycja-ustawne-m3-z-balkonem-7m2-ID3LhS8.html;20.9876096;primary;1;1;0;full_ownership;122;389800;PLN;06.09.2018;.;3;0;0;1;1;1;0;0;58.61;06.09.2018;plastic;.
Warszawa, Bia³o³êka, Skarbka z Gór;.;.;block;.;Bia³o³êka;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2 (z 3);urban;55568536;52.316954;https://www.otodom.pl/oferta/mieszkanie-67-m-warszawa-ID3L9UI.html;21.0592891;secondary;0;0;0;full_ownership;136;469000;PLN;04.09.2018;500 z³;4;0;0;1;1;0;0;0;67;04.09.2018;plastic;2006
Warszawa, Œródmieœcie, Grzybowska;2 Lipca 2018;concrete_plate;block;.;Œródmieœcie;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;> 10 (z 15);urban;54636116;52.23578;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-w-samym-centrum-po-remoncie-ID3HflG.html;20.99914;secondary;1;1;0;cooperative_ownership;2367;570000;PLN;ponad 14 dni temu;.;3;0;0;0;1;1;0;0;48.07;03.09.2018;.;1970
Warszawa, Stare W³ochy;1 Stycznia 2019;.;block;ready_to_use;Stare W³ochy;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;2 (z 3);gas;55295616;52.20148;https://www.otodom.pl/oferta/stare-wlochy-3-pokoje-do-zamieszkania-klimatyzacja-ID3K0UM.html;20.9249;secondary;0;1;0;full_ownership;872;705000;PLN;ponad 14 dni temu;560 z³;3;0;1;1;1;1;0;0;68.5;30.08.2018;plastic;2003
Warszawa, Tarchomin, Strumykowa;.;.;block;ready_to_use;Tarchomin;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1 (z 3);urban;55485004;52.3296983;https://www.otodom.pl/oferta/dwustronne-mieszkanie-na-srumykowej-ID3KObq.html;20.9455248;secondary;1;1;0;full_ownership;334;490000;PLN;29.08.2018;550 z³;3;0;0;0;0;1;0;0;74;03.09.2018;plastic;2003
