Borough;City;Neighbourhood;Street;available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;heating;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;orig_street;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction;Neighbourhood_filled;appartment_floor_no;building_floor_no;price_per_sqm;age;age_mean;age_mode;age_median;age_random;Id
ursynów;warszawa;natolin;.;2018-07-18;missing;apartment;missing;.;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;urban;52.1442234;https://www.otodom.pl/oferta/apartament-na-sengera-blisko-metro-ID3JlXi.html;21.0657378;secondary;0;0;0;False;full_ownership;543;820000.0;PLN;15;900.0;6;0;0;0;1;1;0;0;125;8;plastic;1993;natolin;4;5;6560.0;26.0;26.0;26.0;26.0;26.0;55138168
bielany;warszawa;piaski;zgrupowania ak ¿mija;.;breezeblock;apartment;ready_to_use;.;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;other;52.23614;https://www.otodom.pl/oferta/mieszkanie-115-20-m-warszawa-ID3Ixg8.html;21.00817;secondary;0;0;0;True;cooperative_ownership;454;769000.0;PLN;15;.;4;0;0;1;1;0;0;0;115;1;plastic;2000;piaski;3;4;6686.95652173913;19.0;19.0;19.0;19.0;19.0;54943292
praga pó³noc;warszawa;.;.;.;missing;block;missing;.;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;missing;52.2633;https://www.otodom.pl/oferta/mieszkanie-43-60-m-warszawa-ID3I3RK.html;21.02832;primary;0;0;0;False;full_ownership;201;500000.0;PLN;15;.;2;0;0;0;1;0;0;0;44;6;missing;2020;praga pó³noc;1;6;11363.636363636364;0.0;0.0;0.0;0.0;0.0;54830304
ochota;warszawa;szczêœliwice;budki szczêœliwickie;.;silikat;block;missing;.;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;urban;52.20997;https://www.otodom.pl/oferta/ostatnie-pietro-taras-ID3KrOc.html;20.96727;primary;0;0;0;False;full_ownership;315;1262918.0;PLN;15;.;5;0;0;0;1;1;0;0;112;12;missing;2019;szczêœliwice;3;3;11276.05357142857;0.0;0.0;0.0;0.0;0.0;55398996
bemowo;warszawa;jelonki pó³nocne;gen. meriana c. coopera;.;missing;block;to_completion;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;missing;52.23824636958341;https://www.otodom.pl/oferta/mieszkanie-dwupokojowe-na-bemowie-ID3KX6Q.html;20.89285767354126;primary;0;0;0;True;missing;232;418480.0;PLN;10;.;2;0;0;0;0;0;0;0;52;5;missing;.;jelonki pó³nocne;3;missing;8047.692307692308;1.0;1.0;1.0;1.0;1.0;55519316
œródmieœcie;warszawa;solec;okr¹g;.;brick;tenement;missing;.;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;missing;52.2302551;https://www.otodom.pl/oferta/mieszkanie-120-m-warszawa-ID3Laas.html;21.036335;secondary;0;0;0;True;missing;164;1649000.0;PLN;6;900.0;3;0;0;0;0;0;0;0;120;6;missing;1928;solec;groundfloor;4;13741.666666666666;91.0;91.0;91.0;91.0;91.0;55569512
ursus;warszawa;skorosze;poczty gdañskiej;.;missing;missing;missing;.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;missing;52.1982874;https://www.otodom.pl/oferta/mieszkanie-59-08-m-warszawa-ID3KPQc.html;20.8985509;secondary;0;0;0;True;missing;221;472850.0;PLN;11;.;3;0;0;0;0;0;0;0;59;7;missing;.;skorosze;groundfloor;missing;8014.406779661017;.;3.6666666666666665;8.0;1.0;10.0;55491376
bemowo;warszawa;bemowo-lotnisko;widawska;.;missing;block;ready_to_use;.;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;urban;52.253166;https://www.otodom.pl/oferta/dobra-oferta-trzech-pokoi-na-bemowie-ID3K9Fa.html;20.92401;secondary;1;1;0;True;full_ownership;686;525000.0;PLN;15;500.0;3;0;1;0;0;0;0;0;70;12;plastic;2002;bemowo-lotnisko;7;8;7500.0;17.0;17.0;17.0;17.0;17.0;55329244
bielany;warszawa;.;.;.;concrete_plate;block;missing;.;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;urban;52.28161;https://www.otodom.pl/oferta/3-pok-bielany-za-gotowke-ID3HJk0.html;20.97422;secondary;0;0;0;False;cooperative_ownership;403;430000.0;PLN;15;.;3;0;0;0;1;0;0;0;58;6;missing;.;bielany;10;15;7413.793103448276;.;45.06976744186046;7.0;44.0;39.0;54751332
bielany;warszawa;chomiczówka;josepha conrada;.;concrete_plate;block;ready_to_use;.;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;missing;52.2758993;https://www.otodom.pl/oferta/bielany-3pokojowe-do-zamieszkania-ID3Ls0v.html;20.9232479;secondary;1;1;0;True;cooperative_ownership_with_mortgage_register;140;439000.0;PLN;2;820.0;3;0;0;0;0;0;0;0;57;2;plastic;1978;chomiczówka;1;15;7701.754385964912;41.0;41.0;41.0;41.0;41.0;55638088
