available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;floor_num;heating;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction;Borough;City;Neighbourhood;Street;orig_street;Id
.;.;block;.;wola;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;> 10 (z 12);.;52.227148423955214;https://www.otodom.pl/oferta/centrum-wa-wy-super-okazja-zainwestuj-wynajem-ID3KiJC.html;20.95583290262451;primary;1;1;1;.;710;398000;PLN;ponad 14 dni temu;.;2;0;0;0;0;0;0;0;36;07.09.2018;.;.;wola;warszawa;odolany;kasprzaka marcina;False;55364116
.;brick;block;.;ochota;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;6 (z 8);.;52.2021313;https://www.otodom.pl/oferta/mieszkanie-58-m-warszawa-ID3KsEc.html;20.9554848;secondary;0;0;0;full_ownership;417;535000;PLN;ponad 14 dni temu;700 z³;2;0;0;0;0;0;0;0;58;27.08.2018;.;2013;ochota;warszawa;szczêœliwice;w³odarzewska;True;55402220
.;.;apartment;to_completion;mokotów;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;4 (z 8);.;52.190257058598974;https://www.otodom.pl/oferta/ustawne-mieszkanie-w-doskonalym-punkcie-mokotowa-ID3KVbm.html;21.013974264526365;primary;0;0;0;.;225;949536;PLN;31.08.2018;.;3;0;0;0;1;0;0;0;60.48;05.09.2018;.;.;mokotów;warszawa;stary mokotów;skwer jacka kaczmarskiego;False;55515752
.;brick;tenement;.;œródmieœcie;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2 (z 4);.;52.2324848;https://www.otodom.pl/oferta/chmielna-kamienica-balkon-ID3JU9y.html;21.0154872;secondary;0;0;0;full_ownership;464;550000;PLN;ponad 14 dni temu;600 z³;2;0;0;0;0;0;0;0;48;01.09.2018;plastic;1914;œródmieœcie;warszawa;œródmieœcie pó³nocne;chmielna;True;55269624
8 Sierpnia 2018;brick;tenement;to_renovation;stare miasto;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1 (z 2);urban;52.24672;https://www.otodom.pl/oferta/sprzedam-mieszkanie-w-kamienicy-na-starym-miescie-ID3JD6I.html;21.01442;secondary;0;1;1;full_ownership;1242;899000;PLN;ponad 14 dni temu;.;2;0;0;1;1;0;0;0;66.1;07.09.2018;plastic;1948;œródmieœcie;warszawa;stare miasto;.;False;55204100
.;.;block;to_completion;bia³o³êka;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;.;52.3258294;https://www.otodom.pl/oferta/nowe-osiedle-niska-zabudowa-2-pokoje-ID3LmCY.html;21.0485453;secondary;0;0;0;full_ownership;151;231900;PLN;07.09.2018;.;2;0;1;1;1;1;0;0;41.33;07.09.2018;.;2018;bia³o³êka;warszawa;kobia³ka;ostródzka;True;55617408
.;.;.;.;bemowo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 (z 10);.;52.24091;https://www.otodom.pl/oferta/mieszkanie-50-20-m-warszawa-ID3KG1S.html;20.91133;secondary;0;0;0;.;283;370000;PLN;27.08.2018;.;2;0;0;0;0;0;0;0;50.2;27.08.2018;.;.;bemowo;warszawa;.;.;False;55453660
1 Listopada 2018;.;block;ready_to_use;nowe w³ochy;0;1;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;parter (z 4);urban;52.20734536159205;https://www.otodom.pl/oferta/kawalerka-z-miejscem-w-garazu-i-komorka-ID3LoUE.html;20.8943856137085;secondary;0;0;0;full_ownership;285;285000;PLN;07.09.2018;440 z³;1;0;0;1;1;1;0;0;34;07.09.2018;wooden;2013;w³ochy;warszawa;nowe w³ochy;obywatelska;True;55626192
.;.;.;to_renovation;¿oliborz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7 (z 9);.;52.23614;https://www.otodom.pl/oferta/mieszkanie-118-m-warszawa-ID3I4EE.html;21.00817;secondary;0;0;0;.;356;2800000;PLN;ponad 14 dni temu;.;3;0;0;0;0;0;0;0;118;04.09.2018;.;.;¿oliborz;warszawa;stary ¿oliborz;bitwy pod rokitn¹;True;54833336
.;brick;tenement;ready_to_use;œródmieœcie;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;4 (z 4);urban;52.2247175;https://www.otodom.pl/oferta/mieszkanie-36-m-warszawa-ID3L30I.html;21.0149539;secondary;0;0;0;full_ownership;215;640000;PLN;03.09.2018;340 z³;2;0;0;0;0;0;0;0;36;03.09.2018;.;1936;œródmieœcie;warszawa;œródmieœcie po³udniowe;wilcza;True;55542000
